id_mensalidade,id_aluno,mes_ano,valor,vencimento,data_pagamento,status,multa_valor
92,20,09/2026,352.0,10/09/2026,,A Receber,0.0
93,20,10/2026,352.0,10/10/2026,,A Receber,0.0
94,20,11/2026,352.0,10/11/2026,,A Receber,0.0
95,20,12/2026,352.0,10/12/2026,,A Receber,0.0
96,21,08/2026,320.0,10/08/2026,,A Receber,0.0
97,21,09/2026,320.0,10/09/2026,,A Receber,0.0
98,21,10/2026,320.0,10/10/2026,,A Receber,0.0
99,21,11/2026,320.0,10/11/2026,,A Receber,0.0
100,21,12/2026,320.0,10/12/2026,,A Receber,0.0
101,22,08/2026,380.0,10/08/2026,,A Receber,0.0
102,22,09/2026,380.0,10/09/2026,,A Receber,0.0
103,22,10/2026,380.0,10/10/2026,,A Receber,0.0
104,22,11/2026,380.0,10/11/2026,,A Receber,0.0
105,22,12/2026,380.0,10/12/2026,,A Receber,0.0
106,23,08/2026,350.0,10/08/2026,,A Receber,0.0
107,23,09/2026,350.0,10/09/2026,,A Receber,0.0
108,23,10/2026,350.0,10/10/2026,,A Receber,0.0
109,23,11/2026,350.0,10/11/2026,,A Receber,0.0
110,23,12/2026,350.0,10/12/2026,,A Receber,0.0
